Title,Video URL,Subject,Grade,Chapter,Difficulty,Sort Order
小乐：集合-07 根据要求确定集合中的元素,https://www.youtube.com/watch?v=-wlcBIad5BY&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=25&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-101 包含与子集,https://www.youtube.com/watch?v=Bf54-_mnW1M&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=26&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-102 已知包含关系求参数值,https://www.youtube.com/watch?v=FqB9I1in1Yw&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=27&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-103 一次不等式解集间的关系,https://www.youtube.com/watch?v=HjD8O3kkAXA&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=28&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-104 二次方程解集相等的条件,https://www.youtube.com/watch?v=Bioj_uF1onY&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=29&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,00-小乐:集合,0,0
小乐：集合-105 二次方程解集间的包含关系,https://www.youtube.com/watch?v=fr3aSeazWgo&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=30&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-106 子集的个数公式,https://www.youtube.com/watch?v=j7fGyr010-E&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=31&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-107 二次方程根的分布,https://www.youtube.com/watch?v=P8ZjGxWJqGA&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=32&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-108 集合相等,https://www.youtube.com/watch?v=m2lQ28mScKc&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=33&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-01 交集的概念,https://www.youtube.com/watch?v=Ix3LnXNW3BQ&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=34&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-02 数集和点集的交集,https://www.youtube.com/watch?v=YWt5GX3lfNo&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=35&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-03 已知交集结果求参数值,https://www.youtube.com/watch?v=ghlSyF3GzGE&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=36&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-04 已知交集结果求参数范围,https://www.youtube.com/watch?v=JhUVnUT9M6Q&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=37&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-05 二次不等式解集的交集,https://www.youtube.com/watch?v=d_kS2ILKHF0&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=38&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-06 并集的概念,https://www.youtube.com/watch?v=exW_pPDVj10&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=39&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-07 已知并集结果求参数值,https://www.youtube.com/watch?v=chRdvoyPJek&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=40&pp=iAQB0gcJCckJAYcqIYzv,数学,初中2,00-小乐:集合,0,0
小乐：集合-08 已知并集结果求参数范围,https://www.youtube.com/watch?v=7cKOdIdOOYQ&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=41&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-09 集合中元素个数的计算,https://www.youtube.com/watch?v=yF_xbAFskAE&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=42&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-010 补集的概念,https://www.youtube.com/watch?v=m7tcQTwHSB8&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=43&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-011 集合的混合运算,https://www.youtube.com/watch?v=rjdg93yzSIg&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=44&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-012 点集运算易错点,https://www.youtube.com/watch?v=t8kPm5PrWQo&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=45&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-013 用维恩图表示集合混合运算,https://www.youtube.com/watch?v=xn5baCGMjLg&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=46&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-014 由混合运算求参数值,https://www.youtube.com/watch?v=JkSpO29fiHo&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=47&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-015 已知补集结果求参数值,https://www.youtube.com/watch?v=neMX4qJ_MBQ&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=48&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-016 已知包含关系求参数值（2）,https://www.youtube.com/watch?v=Qv4Nf2WJ4J0&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=49&pp=iAQB,数学,初中2,00-小乐:集合,0,0
小乐：集合-017 判断集合之间的关系,https://www.youtube.com/watch?v=Kq84DhUMgwA&list=PLR1ACzwrLF_09MidJqluugHTHQCErNeSb&index=50&pp=iAQB,数学,初中2,00-小乐:集合,0,0

